epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,247.967,1.75608,2.48305,2.18961,0.66019,0.47248,0.63331,0.30706,2.33174,3.15403,4.52643,0.000654545,0.000654545,0.000654545
2,471.149,1.25441,1.78323,1.68338,0.402,0.70183,0.44345,0.1508,2.4166,6.70653,7.28087,0.00127761,0.00127761,0.00127761
3,701.738,1.19315,1.59627,1.62721,0.60998,0.87525,0.73904,0.59767,2.31867,2.4857,4.02736,0.00185668,0.00185668,0.00185668
4,931.417,1.17334,1.47319,1.60514,0.80399,0.84668,0.90977,0.60961,2.89322,2.44504,4.93612,0.001802,0.001802,0.001802
5,1168.35,1.11942,1.37343,1.56653,0.51145,0.96789,0.55374,0.45544,2.08346,1.67186,3.03222,0.001736,0.001736,0.001736
6,1392.63,1.0574,1.29279,1.50614,0.60482,0.83028,0.80949,0.41529,2.51178,1.79683,4.98895,0.00167,0.00167,0.00167
7,1619.45,1.00111,1.23852,1.47115,0.52313,0.97248,0.80475,0.58106,2.59922,1.63437,4.93706,0.001604,0.001604,0.001604
8,1845.9,1.01253,1.2004,1.46184,0.96699,0.9633,0.99166,0.87031,2.24236,2.09403,4.4747,0.001538,0.001538,0.001538
9,2063.48,0.95849,1.16849,1.43715,0.55034,0.87021,0.79706,0.69721,2.26604,2.25372,4.06896,0.001472,0.001472,0.001472
10,2286.66,0.96454,1.17802,1.44675,0.74309,0.88073,0.90979,0.80989,2.19368,1.27404,4.68299,0.001406,0.001406,0.001406
11,2504.17,0.92931,1.14135,1.4049,0.55776,0.94301,0.68621,0.43305,2.24499,1.64999,4.14532,0.00134,0.00134,0.00134
12,2742.37,0.86912,1.0838,1.34518,0.29586,0.20045,0.1917,0.12877,2.59063,2.97799,4.42981,0.001274,0.001274,0.001274
13,2968.29,0.85405,1.07655,1.35186,0.56063,0.86697,0.63191,0.43734,2.2087,1.64847,4.48493,0.001208,0.001208,0.001208
14,3187.34,0.81951,1.04326,1.32051,0.77578,0.88877,0.86398,0.77736,2.08606,1.18498,4.27178,0.001142,0.001142,0.001142
15,3409.41,0.8395,1.04569,1.35039,0.6214,0.87615,0.65517,0.48194,2.14035,1.72181,4.70444,0.001076,0.001076,0.001076
16,3627.76,0.81957,1.0187,1.33575,0.63791,0.81621,0.69191,0.44853,2.14388,1.64977,4.8258,0.00101,0.00101,0.00101
17,3848.04,0.8057,0.94198,1.30985,0.885,0.8825,0.93076,0.83349,2.13402,1.07127,4.67634,0.000944,0.000944,0.000944
18,4067.21,0.80072,0.94736,1.30783,0.67796,0.89908,0.81729,0.66537,2.123,1.19034,4.86741,0.000878,0.000878,0.000878
